"AOU","alpha","common","group"
10,"WEGR","WESTERN GREBE","LoonIbis.csv"
11,"CLGR","CLARK'S GREBE","LoonIbis.csv"
12,"WCGR","WESTERN/CLARK'S GREBE","LoonIbis.csv"
20,"RNGR","RED-NECKED GREBE","LoonIbis.csv"
30,"HOGR","HORNED GREBE","LoonIbis.csv"
40,"EAGR","EARED GREBE","LoonIbis.csv"
50,"LEGR","LEAST GREBE","LoonIbis.csv"
60,"PBGR","PIED-BILLED GREBE","LoonIbis.csv"
70,"COLO","COMMON LOON","LoonIbis.csv"
80,"YBLO","YELLOW-BILLED LOON","LoonIbis.csv"
90,"ARLO","ARCTIC LOON","LoonIbis.csv"
100,"PALO","PACIFIC LOON","LoonIbis.csv"
110,"RTLO","RED-THROATED LOON","LoonIbis.csv"
120,"TUPU","TUFTED PUFFIN","GullAlcid.csv"
140,"HOPU","HORNED PUFFIN","GullAlcid.csv"
150,"RHAU","RHINOCEROS AUKLET","GullAlcid.csv"
160,"CAAU","CASSIN'S AUKLET","GullAlcid.csv"
210,"ANMU","ANCIENT MURRELET","GullAlcid.csv"
230,"MAMU","MARBLED MURRELET","GullAlcid.csv"
240,"KIMU","KITTLITZ'S MURRELET","GullAlcid.csv"
270,"BLGU","BLACK GUILLEMOT","GullAlcid.csv"
290,"PIGU","PIGEON GUILLEMOT","GullAlcid.csv"
300,"COMU","COMMON MURRE","GullAlcid.csv"
310,"TBMU","THICK-BILLED MURRE","GullAlcid.csv"
320,"RAZO","RAZORBILL","GullAlcid.csv"
360,"POJA","POMARINE JAEGER","GullAlcid.csv"
370,"PAJA","PARASITIC JAEGER","GullAlcid.csv"
380,"LTJA","LONG-TAILED JAEGER","GullAlcid.csv"
400,"BLKI","BLACK-LEGGED KITTIWAKE","GullAlcid.csv"
420,"GLGU","GLAUCOUS GULL","GullAlcid.csv"
430,"ICGU","ICELAND GULL","GullAlcid.csv"
440,"GWGU","GLAUCOUS-WINGED GULL","GullAlcid.csv"
470,"GBBG","GREAT BLACK-BACKED GULL","GullAlcid.csv"
480,"SBGU","SLATY-BACKED GULL","GullAlcid.csv"
490,"WEGU","WESTERN GULL","GullAlcid.csv"
510,"HERG","HERRING GULL","GullAlcid.csv"
530,"CAGU","CALIFORNIA GULL","GullAlcid.csv"
534,"UNGU","UNIDENTIFIED GULL","GullAlcid.csv"
540,"RBGU","RING-BILLED GULL","GullAlcid.csv"
550,"MEGU","MEW GULL","GullAlcid.csv"
551,"BHGU","BLACK-HEADED GULL","GullAlcid.csv"
570,"HEEG","HEERMANN'S GULL","GullAlcid.csv"
580,"LAGU","LAUGHING GULL","GullAlcid.csv"
590,"FRGU","FRANKLIN'S GULL","GullAlcid.csv"
600,"BOGU","BONAPARTE'S GULL","GullAlcid.csv"
610,"ROGU","ROSS'S GULL","GullAlcid.csv"
620,"SAGU","SABINE'S GULL","GullAlcid.csv"
630,"GBTE","GULL-BILLED TERN","GullAlcid.csv"
640,"CATE","CASPIAN TERN","GullAlcid.csv"
650,"ROYT","ROYAL TERN","GullAlcid.csv"
660,"ELTE","ELEGANT TERN","GullAlcid.csv"
670,"SATE","SANDWICH TERN","GullAlcid.csv"
690,"FOTE","FORSTER'S TERN","GullAlcid.csv"
700,"COTE","COMMON TERN","GullAlcid.csv"
710,"ARTE","ARCTIC TERN","GullAlcid.csv"
720,"ROST","ROSEATE TERN","GullAlcid.csv"
730,"ALTE","ALEUTIAN TERN","GullAlcid.csv"
740,"LETE","LEAST TERN","GullAlcid.csv"
770,"BLTE","BLACK TERN","GullAlcid.csv"
800,"BLSK","BLACK SKIMMER","GullAlcid.csv"
860,"NOFU","NORTHERN FULMAR","LoonIbis.csv"
880,"COSH","CORY'S SHEARWATER","LoonIbis.csv"
900,"MASH","MANX SHEARWATER","LoonIbis.csv"
1060,"LHSP","LEACH'S STORM-PETREL","LoonIbis.csv"
1140,"MABO","MASKED BOOBY","LoonIbis.csv"
1141,"BFBO","BLUE-FOOTED BOOBY","LoonIbis.csv"
1150,"BRBO","BROWN BOOBY","LoonIbis.csv"
1170,"NOGA","NORTHERN GANNET","LoonIbis.csv"
1180,"ANHI","ANHINGA","LoonIbis.csv"
1190,"GRCO","GREAT CORMORANT","LoonIbis.csv"
1200,"DCCO","DOUBLE-CRESTED CORMORANT","LoonIbis.csv"
1210,"NECO","NEOTROPIC CORMORANT","LoonIbis.csv"
1220,"BRAC","BRANDT'S CORMORANT","LoonIbis.csv"
1230,"PECO","PELAGIC CORMORANT","LoonIbis.csv"
1250,"AWPE","AMERICAN WHITE PELICAN","LoonIbis.csv"
1260,"BRPE","BROWN PELICAN","LoonIbis.csv"
1280,"MAFR","MAGNIFICENT FRIGATEBIRD","LoonIbis.csv"
1290,"COME","COMMON MERGANSER","Waterfowl.csv"
1300,"RBME","RED-BREASTED MERGANSER","Waterfowl.csv"
1310,"HOME","HOODED MERGANSER","Waterfowl.csv"
1320,"MALL","MALLARD","Waterfowl.csv"
1326,"MBDH","MALLARD X AMERICAN BLACK DUCK HYBRID","Waterfowl.csv"
1330,"ABDU","AMERICAN BLACK DUCK","Waterfowl.csv"
1331,"MEDU","MEXICAN DUCK","Waterfowl.csv"
1340,"MODU","MOTTLED DUCK","Waterfowl.csv"
1350,"GADW","GADWALL","Waterfowl.csv"
1360,"EUWI","EURASIAN WIGEON","Waterfowl.csv"
1370,"AMWI","AMERICAN WIGEON","Waterfowl.csv"
1390,"AGWT","AMERICAN GREEN-WINGED TEAL","Waterfowl.csv"
1400,"BWTE","BLUE-WINGED TEAL","Waterfowl.csv"
1410,"CITE","CINNAMON TEAL","Waterfowl.csv"
1420,"NSHO","NORTHERN SHOVELER","Waterfowl.csv"
1430,"NOPI","NORTHERN PINTAIL","Waterfowl.csv"
1440,"WODU","WOOD DUCK","Waterfowl.csv"
1460,"REDH","REDHEAD","Waterfowl.csv"
1470,"CANV","CANVASBACK","Waterfowl.csv"
1480,"GRSC","GREATER SCAUP","Waterfowl.csv"
1490,"LESC","LESSER SCAUP","Waterfowl.csv"
1500,"RNDU","RING-NECKED DUCK","Waterfowl.csv"
1510,"COGO","COMMON GOLDENEYE","Waterfowl.csv"
1520,"BAGO","BARROW'S GOLDENEYE","Waterfowl.csv"
1530,"BUFF","BUFFLEHEAD","Waterfowl.csv"
1540,"LTDU","LONG-TAILED DUCK","Waterfowl.csv"
1550,"HARD","HARLEQUIN DUCK","Waterfowl.csv"
1590,"COEI","COMMON EIDER","Waterfowl.csv"
